section,LATITUDE,LONGITUDE,upper50mDOPstock,MeanDOPUpper50,iron stress,PStar,Chl a,PStar_250,Pstar_insitu,nFLH,region,comment
AMT14,-38.88149,-38.58539,5.195883177,0.103917664,0.012237958,0.157000005,0.216460049,0.099470543,0.080625,8.93E-03,South Atlantic,
AMT14,-35.96667,-34.78997,6.495706663,0.129914133,0.012419403,0.126924999,0.126128152,0.089301786,0.037708333,6.24E-03,South Atlantic,
AMT14,-32.97375,-31.00796,11.89322501,0.2378645,0.012050624,0.112918747,0.100896835,0.092300895,0.027541667,4.17E-03,South Atlantic,
AMT14,-29.76885,-27.09417,5.127183317,0.102543666,0.012980998,0.144900003,0.077749409,0.140484822,0.005777083,3.27E-03,South Atlantic,
AMT14,-28.08823,-25.10199,4.5,0.09,0.014340401,0.161656247,0.066158742,0.155326779,0.0048,3.30E-03,South Atlantic,
AMT14,-24.23124,-24.99512,6.82788671,0.136557734,0.016861734,0.184837495,0.057930615,0.186485712,0.024045833,3.14E-03,South Atlantic,
AMT14,-20.92963,-25.00379,10.49993438,0.209998688,0.017887512,0.188775,0.043501474,0.210233927,0.095484375,2.87E-03,South Atlantic,
AMT14,-16.64452,-24.99619,13,0.26,0.018447761,0.185000002,0.039125163,0.247654465,0.091640625,2.62E-03,South Atlantic,
AMT14,-8.81756,-25.00206,10.8050945,0.21610189,0.01305238,0.114193749,0.099709041,0.124133923,0.02515625,2.50E-03,South Atlantic,
AMT14,-4.46185,-25.01249,12.16328693,0.243265739,0.01253713,0.078543751,0.113255508,0.066296416,0.026697917,3.62E-03,South Atlantic,
AMT14,-0.10135,-24.99662,17.62464331,0.352492866,0.01491611,0.083862503,0.146745726,0.042155368,0.028091667,6.83E-03,South Atlantic,
AMT14,3.24473,-26.24346,7.508759992,0.1501752,0.01525388,0.057056248,0.11463277,0.040987509,0.02609375,4.72E-03,North Atlantic,
AMT14,7.28897,-27.78171,5.559096908,0.111181938,0.017073404,0.050299999,0.134741977,0.049895508,0.027197917,5.12E-03,North Atlantic,
AMT14,11.40053,-29.36786,7,0.14,0.013869847,0.0664375,0.13755627,0.052240201,0.026875,4.31E-03,North Atlantic,
AMT14,14.75553,-30.68309,8.430735452,0.168614709,0.010134095,0.070018747,0.097951107,-0.002459816,0.02808125,2.83E-03,North Atlantic,
AMT14,18.79636,-32.28879,6.249056036,0.124981121,0.009975896,0.039487502,0.104747966,-0.028348222,0.028403125,2.46E-03,North Atlantic,
AMT14,22.33456,-33.73347,3.571928897,0.071438578,0.012392328,0.0223125,0.061872397,-0.036403567,0.007933333,2.68E-03,North Atlantic,
AMT14,25.92199,-35.23629,2.749997238,0.054999945,0.01408933,0.028125001,0.032016102,0.02851607,-0.001040625,2.61E-03,North Atlantic,
AMT14,29.30054,-36.69945,2.5,0.05,0.013438539,0.046874999,0.042638693,-0.009454467,-9.41E-04,2.72E-03,North Atlantic,
AMT14,35.747,-22.85163,9.474734439,0.189494689,0.011686717,0.048424999,0.077582948,0.009483927,-3.94E-04,3.97E-03,North Atlantic,
AMT14,38.66634,-19.96059,3.691207345,0.073824147,0.011369234,0.042556254,0.359637767,-0.013684818,-0.02760625,5.44E-03,North Atlantic,
AMT14,41.98623,-18.79265,8.004220208,0.160084404,0.011819401,0.060306251,0.358786345,-0.017465174,0.012497917,7.34E-03,North Atlantic,
AMT14,47.81141,-16.77694,6.584126026,0.131682521,0.011110578,0.091237485,0.253512532,0.013456259,-0.064375,1.00E-02,North Atlantic,
AMT14,48.99986,-16.39474,6.234138006,0.12468276,0.011749508,0.091512501,0.13798748,0.019525903,-0.028958333,1.14E-02,North Atlantic,
AMT17,46.22974,-17.44212,12.50489409,0.250097882,0.010959639,0.099006251,0.187956661,0.002413401,0.051446875,1.01E-02,North Atlantic,
AMT17,44.34735,-19.33307,13.43084807,0.268616961,0.010304386,0.094987497,0.160498664,-0.020919638,0.038876786,7.90E-03,North Atlantic,
AMT17,35.92254,-29.13092,8.928304006,0.17856608,0.012179095,0.060231252,0.110809237,0.009013393,0.011479167,4.58E-03,North Atlantic,
AMT17,31.29968,-32.04818,11.00056555,0.220011311,0.011587725,0.065012503,0.068624871,-0.034098213,0.010315625,2.81E-03,North Atlantic,
AMT17,29.52611,-36.27322,12.64905732,0.252981146,0.01294243,0.046874999,0.064077254,-0.009454467,0.00380625,2.60E-03,North Atlantic,
AMT17,27.78194,-38.80805,13,0.26,0.01436749,0.037793751,0.048524948,0.025165177,0.003834375,2.65E-03,North Atlantic,
AMT17,23.96198,-36.77857,9.249806317,0.184996126,0.013170161,0.022306249,0.060318062,0.026309825,0.007721875,2.50E-03,North Atlantic,
AMT17,21.05351,-35.27266,9.749998452,0.194999969,0.01178151,0.017781249,0.054667316,-0.022860718,0.010184375,2.46E-03,North Atlantic,
AMT17,18.37798,-33.91454,8.7,0.174,0.0107848,0.03446875,0.078295773,-0.021900006,0.0057625,2.50E-03,North Atlantic,
AMT17,15.12522,-32.2964,9.073684111,0.181473682,0.010973759,0.0526875,0.114453226,0.00767856,0.009535938,2.84E-03,North Atlantic,
AMT17,12.06969,-30.80251,6.364360765,0.127287215,0.01065537,0.063218754,0.138198122,0.041789259,0.019647321,3.14E-03,North Atlantic,
AMT17,9.43397,-29.52006,10.61192415,0.212238483,0.017175821,0.055962501,0.128958091,0.047067847,0.0162625,4.95E-03,North Atlantic,
AMT17,6.50656,-28.11006,9.168397359,0.183367947,0.017865943,0.043362499,0.136931643,0.030242852,0.020230208,5.45E-03,North Atlantic,
AMT17,3.4764,-26.65992,12.93803095,0.258760619,0.014224972,0.057056248,0.12124563,0.040987509,0.031933333,4.47E-03,North Atlantic,
AMT17,0.89227,-25.43576,12.25018971,0.245003794,0.013941016,0.082049998,0.150437113,0.028946408,0.09606875,5.53E-03,North Atlantic,
AMT17,-2.88793,-24.99891,11.23595969,0.224719194,0.01217718,0.072749997,0.098912135,0.054173206,0.191847917,3.78E-03,South Atlantic,
AMT17,-8.27609,-24.99577,12.10018141,0.242003628,0.012695324,0.110956243,0.08911705,0.117143764,0.117459375,2.58E-03,South Atlantic,
AMT17,-11.00024,-24.99922,13.4963989,0.269927978,0.015240473,0.112725005,0.054895291,0.185209813,0.204540625,2.48E-03,South Atlantic,
AMT17,-14.38067,-24.99658,14.38239969,0.287647994,0.017851675,0.150925005,0.033343565,0.239852668,0.196491667,2.51E-03,South Atlantic,
AMT17,-18.55974,-24.99919,12.88860563,0.257772113,0.018042501,0.203968748,0.02460365,0.237398213,0.279822917,2.64E-03,South Atlantic,
AMT17,-21.12928,-22.43899,11.71394249,0.23427885,0.017205889,0.201018745,0.024687706,0.216159816,0.27306875,2.67E-03,South Atlantic,
AMT17,-21.10335,-22.37868,10,0.2,0.018191689,0.201018745,0.024987809,0.216159816,0.158125,2.83E-03,South Atlantic,
AMT17,-22.14294,-20.19863,12.21659486,0.244331897,0.01728454,0.200093753,0.027904578,0.215605358,0.259875,2.81E-03,South Atlantic,
AMT17,-23.76301,-16.52736,13.24601311,0.264920262,0.016171575,0.194518746,0.031236004,0.200489288,0.289784375,2.84E-03,South Atlantic,
AMT17,-26.14092,-11.05722,11.25002037,0.225000407,0.015136087,0.21599375,0.042270154,0.190528567,0.264828125,2.80E-03,South Atlantic,
AMT17,-27.39677,-8.11673,9.930734502,0.19861469,0.014819271,0.195818748,0.059714245,0.191656242,0.289796875,2.96E-03,South Atlantic,
AMT17,-28.85446,-4.68811,11.48494252,0.22969885,0.014540388,0.172424997,0.085319499,0.200265176,0.23989375,3.32E-03,South Atlantic,
AMT17,-30.67318,-0.2998,12.19390444,0.243878089,0.014712357,0.176037504,0.10778543,0.238295537,0.209259375,4.11E-03,South Atlantic,
AMT17,-32.52798,4.23609,13.2725206,0.265450412,0.014992298,0.257256265,0.172690533,0.304621422,0.289854167,5.31E-03,South Atlantic,
AMT17,-33.64581,8.91522,7.263289407,0.145265788,0.013982885,0.29236876,0.229738131,0.25061429,0.213874107,6.35E-03,South Atlantic,
AMT17,-33.90676,10.30315,7.509173346,0.150183467,0.013691866,0.280856242,0.298070133,0.222616067,0.111319444,6.70E-03,South Atlantic,
BIOSOPE,-8.32545,-141.27521,10.14892619,0.202978524,0.024273991,0.271037489,0.168727557,0.327758031,0.311666667,1.03E-02,Eastern South Pacific,
BIOSOPE,-8.99582,-136.84779,14.05674914,0.281134983,0.019553606,0.24545002,0.124049832,0.37390624,0.20046875,5.83E-03,Eastern South Pacific,
BIOSOPE,-11.73528,-134.09633,14.8474089,0.296948178,0.020124578,0.230362497,0.088694909,0.298550896,0.228541667,5.84E-03,Eastern South Pacific,
BIOSOPE,-13.55333,-132.10686,13.87537452,0.27750749,0.019807979,0.208231263,0.072395022,0.266308933,0.213333333,5.50E-03,Eastern South Pacific,
BIOSOPE,-15.5343,-129.92754,12.7003298,0.254006596,0.019199568,0.211524993,0.05458311,0.272981248,0.196041667,4.93E-03,Eastern South Pacific,
BIOSOPE,-17.23447,-127.97176,10.60485143,0.212097029,0.019049525,0.210099995,0.03582787,0.246328568,0.215,4.32E-03,Eastern South Pacific,
BIOSOPE,-18.74717,-125.55151,13.18206818,0.263641364,0.019625807,0.207462493,0.026455859,0.224896433,0.165,3.87E-03,Eastern South Pacific,
BIOSOPE,-20.45467,-122.89305,9.5083073,0.190166146,0.020809991,0.193025006,0.017027767,0.178989282,0.14,3.39E-03,Eastern South Pacific,
BIOSOPE,-22.05007,-120.38205,9.900917683,0.198018354,0.02358014,0.169831243,0.01427642,0.155799999,0.136875,3.06E-03,Eastern South Pacific,
BIOSOPE,-23.55372,-117.88925,8.7204948,0.174409896,0.024416933,0.159656248,0.013740685,0.163923212,0.13,2.79E-03,Eastern South Pacific,
BIOSOPE,-25.96975,-114.00505,6.894478448,0.137889569,0.023635293,0.148750007,0.015941304,0.155160715,0.13,2.56E-03,Eastern South Pacific,
BIOSOPE,-27.77275,-107.28623,6.40785775,0.128157155,0.02060038,0.172387503,0.021954734,0.152251791,0.12,2.71E-03,Eastern South Pacific,
BIOSOPE,-29.2252,-101.48098,7.2562184,0.145124368,0.020668693,0.165268749,0.02456884,0.173539291,0.12,2.78E-03,Eastern South Pacific,
BIOSOPE,-30.042,-98.39228,6.972733687,0.139454674,0.018884371,0.17118125,0.024716909,0.185794639,0.1334375,3.02E-03,Eastern South Pacific,
BIOSOPE,-30.78638,-95.4272,8.314909838,0.166298197,0.019225319,0.203668747,0.055887571,0.209458926,0.15,3.52E-03,Eastern South Pacific,
BIOSOPE,-31.869,-91.41518,10.74954843,0.214990969,0.017807659,0.24979376,0.08081397,0.205821427,,4.51E-03,Eastern South Pacific,
BIOSOPE,-32.39545,-86.78242,11.32971861,0.226594372,0.016808795,0.263549991,0.108285007,0.194195539,0.22625,5.48E-03,Eastern South Pacific,
BIOSOPE,-32.68325,-84.0737,10.87637022,0.217527404,0.015699818,0.260849997,0.111103733,0.198339283,0.154166667,5.94E-03,Eastern South Pacific,
BIOSOPE,-33.02312,-81.20049,10.46884718,0.209376944,0.013847545,0.281862505,0.110751679,0.249936619,0.203333333,6.88E-03,Eastern South Pacific,
BIOSOPE,-33.354,-78.11878,13.29260865,0.265852173,0.013246227,0.31562499,0.244013314,0.386508916,0.24625,8.38E-03,Eastern South Pacific,
BIOSOPE,-33.60613,-75.83113,16.55086392,0.331017278,0.012766629,0.331081256,0.379610543,0.572528601,0.353,1.12E-02,Eastern South Pacific,
BIOSOPE,-33.9332,-73.36405,21.07287117,0.421457423,0.013083557,0.320275009,1.993705511,0.686183027,0.517083333,1.97E-02,Eastern South Pacific,
BIOSOPE,-34.51367,-72.41662,15.29781629,0.305956326,0.009073956,0.311006248,7.066110373,0.733001743,,2.16E-02,Eastern South Pacific,coastal
BIOSOPE,-26.05263,-114.01095,8.47654955,0.169530991,0.023639019,0.141893748,0.015490903,0.151158927,0.125,2.59E-03,Eastern South Pacific,
BIOSOPE,-33.99632,-73.36961,17.0917274,0.341834548,0.013083557,0.320275009,1.993705511,0.686183027,,1.97E-02,Eastern South Pacific,
P06,-30.079,154,7.7131,0.154262,0.012546362,0.156431247,0.31319,0.12120446,0.0775,6.51E-03,Western South Pacific,
P06,-30.08,155.99,7.3554,0.147108,0.01355554,0.145268749,0.32112,0.129160714,0.044375,6.47E-03,Western South Pacific,
P06,-30.08,158,9.4578,0.189156,0.014020075,0.160687502,0.25283,0.134921421,0.082708333,6.77E-03,Western South Pacific,
P06,-30.081,160,9.7405,0.19481,0.014143589,0.170206249,0.24382,0.129350905,0.048125,6.52E-03,Western South Pacific,
P06,-30.08,162,4.8682,0.097364,0.013870123,0.172450006,0.22637,0.125022324,0.068125,6.32E-03,Western South Pacific,
P06,-30.08,166.07,5.3927,0.107854,0.013765965,0.206206249,0.21551,0.144003578,0.073541667,6.17E-03,Western South Pacific,
P06,-30.08,170,6.4779,0.129558,0.01404312,0.197181243,0.18663,0.140116958,0.075625,6.11E-03,Western South Pacific,
P06,-30.08,172,4.9983,0.099966,0.013918687,0.190993752,0.23786,0.138686619,0.06875,6.09E-03,Western South Pacific,
P06,-30.08,176,6.83,0.1366,0.013414594,0.212781247,0.21563,0.149170526,0.0709375,5.35E-03,Western South Pacific,
P06,-32.5,179.92,8.114,0.16228,0.013528447,0.198131241,0.27752,0.122571424,0.0909375,6.42E-03,Western South Pacific,
P06,-32.5,-175.75,8.3158,0.166316,0.013438024,0.147962503,0.24097,0.113201786,0.0775,5.63E-03,Western South Pacific,
P06,-32.5,-163.82,2.9419,0.058838,0.014798335,0.116731251,0.16269,0.124908939,0.0484375,3.95E-03,Western South Pacific,
P06,-32.499,-161.83,9.5148,0.190296,0.014731809,0.097787496,0.14031,0.129516967,0.071875,3.81E-03,Western South Pacific,
P06,-32.5,-158.21,7.6636,0.153272,0.014934203,0.080024997,0.11489,0.138237507,0.086875,3.67E-03,Eastern South Pacific,
P06,-32.5,-154.27,6.5318,0.130636,0.01534234,0.113924995,0.11399,0.149902673,0.0975,3.44E-03,Eastern South Pacific,
P06,-32.5,-150.25,10.644,0.21288,0.016655464,0.139243744,0.11808,0.163375,0.098125,3.48E-03,Eastern South Pacific,
P06,-32.501,-145.71,8.0879,0.161758,0.016961524,0.135300003,0.097953,0.152555366,0.116875,3.28E-03,Eastern South Pacific,
P06,-32.505,-142.25,9.1852,0.183704,0.017055591,0.129862502,0.087439,0.153312498,0.095625,3.23E-03,Eastern South Pacific,
P06,-32.5,-135.92,12.608,0.25216,0.017479814,0.165324993,0.077145,0.180280363,0.08,3.20E-03,Eastern South Pacific,
P06,-32.5,-132.36,15.24,0.3048,0.017747308,0.156818751,0.085788,0.188597324,0.095,2.97E-03,Eastern South Pacific,
P06,-32.5,-127.97,17.369,0.34738,0.018581718,0.120506253,0.067579,0.18231518,0.08125,3.07E-03,Eastern South Pacific,
P06,-32.499,-115.58,17.171,0.34342,0.020519965,0.1769125,0.059136,0.182340174,0.08,3.14E-03,Eastern South Pacific,
P06,-32.501,-111.7,16.382,0.32764,0.020828624,0.181118745,0.075465,0.169700008,0.06,3.38E-03,Eastern South Pacific,
